,Year,Position,Team,Points
1,1958,2,Ferrari,40
7,1959,2,Ferrari,32
12,1960,3,Ferrari,26
16,1961,1,Ferrari,40
26,1962,6,Ferrari,18
32,1963,4,Ferrari,26
37,1964,1,Ferrari,45
48,1965,4,Ferrari,26
54,1966,2,Ferrari,31
61,1966,9,McLaren,2
63,1966,11,McLaren,1
69,1967,5,Ferrari,20
74,1967,10,McLaren,3
77,1968,2,McLaren,49
79,1968,4,Ferrari,32
89,1969,4,McLaren,38
90,1969,5,Ferrari,7
93,1970,2,Ferrari,52
96,1970,5,McLaren,35
102,1971,3,Ferrari,33
105,1971,6,McLaren,10
111,1972,3,McLaren,47
112,1972,4,Ferrari,33
120,1973,3,McLaren,58
123,1973,6,Ferrari,12
129,1974,1,McLaren,73
130,1974,2,Ferrari,65
141,1975,1,Ferrari,72
143,1975,3,McLaren,53
149,1975,9,Williams,6
154,1976,1,Ferrari,83
155,1976,2,McLaren,74
167,1977,1,Ferrari,95
169,1977,3,McLaren,60
180,1978,2,Ferrari,58
186,1978,8,McLaren,15
187,1978,9,Williams,11
190,1978,12,Renault,3
193,1979,1,Ferrari,113
194,1979,2,Williams,75
198,1979,6,Renault,26
199,1979,7,McLaren,15
205,1980,1,Williams,120
208,1980,4,Renault,38
213,1980,9,McLaren,11
214,1980,10,Ferrari,8
216,1981,1,Williams,95
218,1981,3,Renault,54
220,1981,5,Ferrari,34
221,1981,6,McLaren,28
229,1982,1,Ferrari,74
230,1982,2,McLaren,69
231,1982,3,Renault,62
232,1982,4,Williams,58
243,1983,1,Ferrari,89
244,1983,2,Renault,79
246,1983,4,Williams,36
247,1983,5,McLaren,34
253,1983,11,Williams,2
256,1984,1,McLaren,143
257,1984,2,Ferrari,57
260,1984,5,Renault,34
261,1984,6,Williams,25
268,1985,1,McLaren,90
269,1985,2,Ferrari,82
271,1985,4,Williams,71
274,1985,7,Renault,16
278,1986,1,Williams,141
279,1986,2,McLaren,96
281,1986,4,Ferrari,37
288,1987,1,Williams,137
289,1987,2,McLaren,76
291,1987,4,Ferrari,53
301,1988,1,McLaren,199
302,1988,2,Ferrari,65
307,1988,7,Williams,20
311,1989,1,McLaren,141
312,1989,2,Williams,77
313,1989,3,Ferrari,59
327,1990,1,McLaren,121
328,1990,2,Ferrari,110
330,1990,4,Williams,57
337,1991,1,McLaren,139
338,1991,2,Williams,125
339,1991,3,Ferrari,55
349,1992,1,Williams,164
350,1992,2,McLaren,99
352,1992,4,Ferrari,21
362,1993,1,Williams,168
363,1993,2,McLaren,84
365,1993,4,Ferrari,28
368,1993,7,Sauber,12
373,1994,1,Williams,118
375,1994,3,Ferrari,71
380,1994,8,Sauber,12
385,1995,2,Williams,112
386,1995,3,Ferrari,73
387,1995,4,McLaren,30
390,1995,7,Sauber,18
394,1996,1,Williams,175
395,1996,2,Ferrari,70
397,1996,4,McLaren,49
400,1996,7,Sauber,11
403,1997,1,Williams,123
404,1997,2,Ferrari,102
406,1997,4,McLaren,63
409,1997,7,Sauber,16
